epoch,loss_validation,loss_train,f1_validation,accuracy_validation,f1_test,accuracy_test
1,1.0183525266197744,1.0209619854606666,0.6636977444762377,0.6638015717092338,0.7227981277130453,0.7253392005867253
2,0.862947808743679,0.8523018587996625,0.7177161978890565,0.7173379174852652,0.7684193325238724,0.7698019801980198
3,0.7562367001675282,0.7326322427207185,0.7498111416381182,0.7497544204322201,0.8022928047325975,0.8036303630363036
4,0.6748281678741743,0.6401314035188685,0.7788820446545907,0.7792239685658153,0.8267642908485963,0.8278327832783279
5,0.6171150953286231,0.5718504365078476,0.7935467171402248,0.793958742632613,0.840686540886715,0.8414924825815915
6,0.573739772626827,0.5199575567326622,0.8044777177945628,0.8050098231827112,0.8530040430217909,0.8535936927026035
7,0.5410010625553093,0.47878410523010667,0.814372992330512,0.8150785854616895,0.862064882858458,0.8624862486248625
8,0.5155842526429678,0.44513001040213723,0.8248449416820891,0.8253929273084479,0.8692590398325624,0.8695452878621196
9,0.49634527439798587,0.41784777637892057,0.8282428957319954,0.8288310412573674,0.8733635396331134,0.8736707004033737
10,0.48116600920471614,0.39420856167719864,0.8350229177574724,0.8354616895874263,0.8776351626322787,0.8778877887788779
11,0.4694273616803981,0.3747683138039686,0.839109922017669,0.8393909626719057,0.8804682669546411,0.8806380638063807
12,0.458768976064853,0.3565583991685777,0.8399142262930865,0.8401277013752456,0.8834581602114362,0.8836633663366337
13,0.45281814642832735,0.3425124047053145,0.8419181332695477,0.8420923379174853,0.8854375456928176,0.8855885588558856
14,0.44510893605518287,0.32744033225417807,0.843874327100797,0.8440569744597249,0.8872926239760208,0.8874220755408874
15,0.43743762644922235,0.31291222806959007,0.8472971963530327,0.8474950884086444,0.8904679650123752,0.8906307297396406
16,0.4309728538038615,0.29930408191610053,0.8524349557523878,0.8526522593320236,0.8914804791903302,0.8915474880821416
17,0.42687643119473695,0.2879632827549306,0.8538973932952573,0.8541257367387033,0.8925624346768772,0.8926475980931426
18,0.4245330648502356,0.2778682135363798,0.8546137767230331,0.8548624754420432,0.8930494253676449,0.8931059772643931
19,0.42436617203854676,0.26984051915462637,0.8548644821549896,0.8551080550098232,0.8930494233537191,0.8931059772643931
20,0.4190399434369044,0.25683206180534807,0.8572620303479317,0.8575638506876228,0.8941942547536621,0.8942977631096443
21,0.41914335591854196,0.24960148619409497,0.8578339032063026,0.8580550098231827,0.8944181925143182,0.8944811147781445
22,0.4154493751568779,0.23920728500134197,0.8587140745326618,0.8590373280943026,0.8956323644074482,0.8957645764576457
23,0.41184706881183714,0.22780391961102733,0.8607515691015333,0.8610019646365422,0.8967365238038181,0.8968646864686468
24,0.41092007420071613,0.21997118820037329,0.8617172715904416,0.861984282907662,0.8987443031965643,0.8988815548221489
